% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.213214	1	1	2	3.38968e-11	71460.8	0
0.213214	1	2	1	3.36092e-11	70854.5	0
0.214214	1	1	2	3.38982e-11	71463.6	0
0.214214	1	2	1	3.36092e-11	70854.5	0
0.215214	1	1	2	3.38995e-11	71466.5	0
0.215214	1	2	1	3.36092e-11	70854.5	0
0.216214	1	1	2	3.39009e-11	71469.3	0
0.216214	1	2	1	3.36092e-11	70854.5	0
0.217214	1	1	2	3.39022e-11	71472.2	0
0.217214	1	2	1	3.36092e-11	70854.5	0
0.218214	1	1	2	3.39036e-11	71475	0
0.218214	1	2	1	3.36092e-11	70854.5	0
0.219214	1	1	2	3.39049e-11	71477.9	0
0.219214	1	2	1	3.36092e-11	70854.5	0
0.220214	1	1	2	3.39063e-11	71480.8	0
0.220214	1	2	1	3.36092e-11	70854.5	0
0.221214	1	1	2	3.39077e-11	71483.6	0
0.221214	1	2	1	3.36092e-11	70854.5	0
0.222214	1	1	2	3.3909e-11	71486.5	0
0.222214	1	2	1	3.36092e-11	70854.5	0
0.223214	1	1	2	3.39104e-11	71489.3	0
0.223214	1	2	1	3.36092e-11	70854.5	0
0.224214	1	1	2	3.39117e-11	71492.2	0
0.224214	1	2	1	3.36092e-11	70854.5	0
0.225214	1	1	2	3.39131e-11	71495.1	0
0.225214	1	2	1	3.36092e-11	70854.5	0
0.226214	1	1	2	3.39144e-11	71497.9	0
0.226214	1	2	1	3.36092e-11	70854.5	0
0.227214	1	1	2	3.39158e-11	71500.8	0
0.227214	1	2	1	3.36092e-11	70854.5	0
0.228214	1	1	2	3.39172e-11	71503.6	0
0.228214	1	2	1	3.36092e-11	70854.5	0
0.229214	1	1	2	3.39185e-11	71506.5	0
0.229214	1	2	1	3.36092e-11	70854.5	0
0.230214	1	1	2	3.39199e-11	71509.4	0
0.230214	1	2	1	3.36092e-11	70854.5	0
0.231214	1	1	2	3.39212e-11	71512.2	0
0.231214	1	2	1	3.36092e-11	70854.5	0
0.232214	1	1	2	3.39226e-11	71515.1	0
0.232214	1	2	1	3.36092e-11	70854.5	0
0.233214	1	1	2	3.39239e-11	71517.9	0
0.233214	1	2	1	3.36092e-11	70854.5	0
0.234214	1	1	2	3.39253e-11	71520.8	0
0.234214	1	2	1	3.36092e-11	70854.5	0
0.235214	1	1	2	3.39267e-11	71523.7	0
0.235214	1	2	1	3.36092e-11	70854.5	0
0.236214	1	1	2	3.3928e-11	71526.5	0
0.236214	1	2	1	3.36092e-11	70854.5	0
0.237214	1	1	2	3.39294e-11	71529.4	0
0.237214	1	2	1	3.36092e-11	70854.5	0
0.238214	1	1	2	3.39307e-11	71532.2	0
0.238214	1	2	1	3.36092e-11	70854.5	0
0.239214	1	1	2	3.39321e-11	71535.1	0
0.239214	1	2	1	3.36092e-11	70854.5	0
0.240214	1	1	2	3.39334e-11	71538	0
0.240214	1	2	1	3.36092e-11	70854.5	0
0.241214	1	1	2	3.39348e-11	71540.8	0
0.241214	1	2	1	3.36092e-11	70854.5	0
0.242214	1	1	2	3.39362e-11	71543.7	0
0.242214	1	2	1	3.36092e-11	70854.5	0
0.243214	1	1	2	3.39375e-11	71546.6	0
0.243214	1	2	1	3.36092e-11	70854.5	0
0.244214	1	1	2	3.39389e-11	71549.4	0
0.244214	1	2	1	3.36092e-11	70854.5	0
0.245214	1	1	2	3.39402e-11	71552.3	0
0.245214	1	2	1	3.36092e-11	70854.5	0
0.246214	1	1	2	3.39416e-11	71555.1	0
0.246214	1	2	1	3.36092e-11	70854.5	0
0.247214	1	1	2	3.39429e-11	71558	0
0.247214	1	2	1	3.36092e-11	70854.5	0
0.248214	1	1	2	3.39443e-11	71560.9	0
0.248214	1	2	1	3.36092e-11	70854.5	0
0.249214	1	1	2	3.39457e-11	71563.7	0
0.249214	1	2	1	3.36092e-11	70854.5	0
0.250214	1	1	2	3.3947e-11	71566.6	0
0.250214	1	2	1	3.36092e-11	70854.5	0
0.251214	1	1	2	3.39484e-11	71569.5	0
0.251214	1	2	1	3.36092e-11	70854.5	0
0.252214	1	1	2	3.39497e-11	71572.3	0
0.252214	1	2	1	3.36092e-11	70854.5	0
0.253214	1	1	2	3.39511e-11	71575.2	0
0.253214	1	2	1	3.36092e-11	70854.5	0
0.254214	1	1	2	3.39524e-11	71578	0
0.254214	1	2	1	3.36092e-11	70854.5	0
0.255214	1	1	2	3.39538e-11	71580.9	0
0.255214	1	2	1	3.36092e-11	70854.5	0
0.256214	1	1	2	3.39552e-11	71583.8	0
0.256214	1	2	1	3.36092e-11	70854.5	0
0.257214	1	1	2	3.39565e-11	71586.6	0
0.257214	1	2	1	3.36092e-11	70854.5	0
0.258214	1	1	2	3.39579e-11	71589.5	0
0.258214	1	2	1	3.36092e-11	70854.5	0
0.259214	1	1	2	3.39592e-11	71592.4	0
0.259214	1	2	1	3.36092e-11	70854.5	0
0.260214	1	1	2	3.39606e-11	71595.2	0
0.260214	1	2	1	3.36092e-11	70854.5	0
0.261214	1	1	2	3.3962e-11	71598.1	0
0.261214	1	2	1	3.36092e-11	70854.5	0
