% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
4536	1	1	1	0	28	2292	0	1	1	0
4546	1	1	1	0	28	2292	0	1	1	0
4556	1	1	1	0	28	2292	0	1	1	0
4566	1	1	1	0	28	2292	0	1	1	0
4576	1	1	1	0	28	2292	0	1	1	0
4586	1	1	1	0	28	2292	0	1	1	0
4596	1	1	1	0	28	2292	0	1	1	0
4606	1	1	1	0	28	2292	0	1	1	0
4616	1	1	1	0	28	2292	0	1	1	0
4626	1	1	1	0	28	2292	0	1	1	0
4636	1	1	1	0	28	2292	0	1	1	0
4646	1	1	1	0	28	2292	0	1	1	0
4656	1	1	1	0	28	2292	0	1	1	0
4666	1	1	1	0	28	2292	0	1	1	0
4676	1	1	1	0	28	2292	0	1	1	0
4686	1	1	1	0	28	2292	0	1	1	0
4696	1	1	1	0	28	2292	0	1	1	0
4706	1	1	1	0	28	2292	0	1	1	0
4716	1	1	1	0	28	2292	0	1	1	0
4726	1	1	1	0	28	2292	0	1	1	0
4736	1	1	1	0	28	2292	0	1	1	0
4746	1	1	1	0	28	2292	0	1	1	0
4756	1	1	1	0	28	2292	0	1	1	0
4766	1	1	1	0	28	2292	0	1	1	0
4776	1	1	1	0	28	2292	0	1	1	0
4786	1	1	1	0	28	2292	0	1	1	0
4796	1	1	1	0	28	2292	0	1	1	0
4806	1	1	1	0	28	2292	0	1	1	0
4816	1	1	1	0	28	2292	0	1	1	0
4826	1	1	1	0	28	2292	0	1	1	0
4836	1	1	1	0	28	2292	0	1	1	0
4846	1	1	1	0	28	2292	0	1	1	0
4856	1	1	1	0	28	2292	0	1	1	0
4866	1	1	1	0	28	2292	0	1	1	0
4876	1	1	1	0	28	2292	0	1	1	0
4886	1	1	1	0	28	2292	0	1	1	0
4896	1	1	1	0	28	2292	0	1	1	0
4906	1	1	1	0	28	2292	0	1	1	0
4916	1	1	1	0	28	2292	0	1	1	0
4926	1	1	1	0	28	2292	0	1	1	0
4936	1	1	1	0	28	2292	0	1	1	0
4946	1	1	1	0	28	2292	0	1	1	0
4956	1	1	1	0	28	2292	0	1	1	0
4966	1	1	1	0	28	2292	0	1	1	0
4976	1	1	1	0	28	2292	0	1	1	0
4986	1	1	1	0	28	2292	0	1	1	0
4996	1	1	1	0	28	2292	0	1	1	0
5006	1	1	1	0	28	2292	0	1	1	0
5016	1	1	1	0	28	2292	0	1	1	0
5026	1	1	1	0	28	2292	0	1	1	0
5036	1	1	1	0	28	2292	0	1	1	0
5046	1	1	1	0	28	2292	0	1	1	0
5056	1	1	1	0	28	2292	0	1	1	0
5066	1	1	1	0	28	2292	0	1	1	0
5076	1	1	1	0	28	2292	0	1	1	0
5086	1	1	1	0	28	2292	0	1	1	0
5096	1	1	1	0	28	2292	0	1	1	0
5106	1	1	1	0	28	2292	0	1	1	0
5116	1	1	1	0	28	2292	0	1	1	0
5126	1	1	1	0	28	2292	0	1	1	0
5136	1	1	1	0	28	2292	0	1	1	0
5146	1	1	1	0	28	2292	0	1	1	0
5156	1	1	1	0	28	2292	0	1	1	0
5166	1	1	1	0	28	2292	0	1	1	0
5176	1	1	1	0	28	2292	0	1	1	0
5186	1	1	1	0	28	2292	0	1	1	0
5196	1	1	1	0	28	2292	0	1	1	0
5206	1	1	1	0	28	2292	0	1	1	0
5216	1	1	1	0	28	2292	0	1	1	0
5226	1	1	1	0	28	2292	0	1	1	0
5236	1	1	1	0	28	2292	0	1	1	0
5246	1	1	1	0	28	2292	0	1	1	0
5256	1	1	1	0	28	2292	0	1	1	0
5266	1	1	1	0	28	2292	0	1	1	0
5276	1	1	1	0	28	2292	0	1	1	0
5286	1	1	1	0	28	2292	0	1	1	0
5296	1	1	1	0	28	2292	0	1	1	0
5306	1	1	1	0	28	2292	0	1	1	0
5316	1	1	1	0	28	2292	0	1	1	0
5326	1	1	1	0	28	2292	0	1	1	0
5336	1	1	1	0	28	2292	0	1	1	0
5346	1	1	1	0	28	2292	0	1	1	0
5356	1	1	1	0	28	2292	0	1	1	0
5366	1	1	1	0	28	2292	0	1	1	0
5376	1	1	1	0	28	2292	0	1	1	0
5386	1	1	1	0	28	2292	0	1	1	0
5396	1	1	1	0	28	2292	0	1	1	0
5406	1	1	1	0	28	2292	0	1	1	0
5416	1	1	1	0	28	2292	0	1	1	0
5426	1	1	1	0	28	2292	0	1	1	0
5436	1	1	1	0	28	2292	0	1	1	0
5446	1	1	1	0	28	2292	0	1	1	0
5456	1	1	1	0	28	2292	0	1	1	0
5466	1	1	1	0	28	2292	0	1	1	0
5476	1	1	1	0	28	2292	0	1	1	0
5486	1	1	1	0	28	2292	0	1	1	0
5496	1	1	1	0	28	2292	0	1	1	0
5506	1	1	1	0	28	2292	0	1	1	0
5518	1	1	1	0	28	2292	0	1	1	0
5526	1	1	1	0	28	2292	0	1	1	0
5536	1	1	1	0	28	2292	0	1	1	0
5546	1	1	1	0	28	2292	0	1	1	0
5556	1	1	1	0	28	2292	0	1	1	0
5566	1	1	1	0	28	2292	0	1	1	0
5576	1	1	1	0	28	2292	0	1	1	0
5586	1	1	1	0	28	2292	0	1	1	0
5596	1	1	1	0	28	2292	0	1	1	0
5606	1	1	1	0	28	2292	0	1	1	0
5616	1	1	1	0	28	2292	0	1	1	0
5626	1	1	1	0	28	2292	0	1	1	0
5636	1	1	1	0	28	2292	0	1	1	0
5646	1	1	1	0	28	2292	0	1	1	0
5656	1	1	1	0	28	2292	0	1	1	0
5666	1	1	1	0	28	2292	0	1	1	0
5676	1	1	1	0	28	2292	0	1	1	0
5686	1	1	1	0	28	2292	0	1	1	0
5696	1	1	1	0	28	2292	0	1	1	0
5706	1	1	1	0	28	2292	0	1	1	0
5716	1	1	1	0	28	2292	0	1	1	0
